S,C_0,C_5,C_10,C_25
108,9.242219950611855,9.242330156170496,9.317941621414704,11.036208083995419
108.05,9.292219950611852,9.292322205269656,9.366218237693872,11.075323892617916
108.1,9.342219950611849,9.342314801896734,9.414529867285822,11.114494096551539
108.15,9.39221995061186,9.39230791035132,9.462875907001006,11.153718513152285
108.2,9.442219950611857,9.442301497112041,9.51125576141989,11.192996959733748
108.25,9.492219950611855,9.49229553071406,9.559668842853696,11.232329253572843
108.3,9.542219950611852,9.542289981633118,9.608114571303943,11.271715211915065
108.35,9.592219950611849,9.592284822174875,9.65659237442054,11.311154651980118
108.4,9.64221995061186,9.642280026370528,9.70510168745885,11.350647390967268
108.45,9.692219950611857,9.69227556987724,9.75364195323533,11.390193246060676
108.5,9.742219950611855,9.74227142988407,9.802212622082408,11.429792034434882
108.55,9.792219950611852,9.792267585022728,9.850813151801873,11.469443573260165
108.6,9.842219950611849,9.84226401528295,9.899443007617364,11.509147679707695
108.65,9.89221995061186,9.892260701932514,9.948101662126035,11.548904170954941
108.7,9.942219950611857,9.942257627441279,9.996788595248702,11.58871286419091
108.75,9.992219950611855,9.992254775409648,10.04550329417971,11.628573576621292
108.8,10.042219950611852,10.042252130500643,10.09424525333533,11.668486125473763
108.85,10.092219950611849,10.092249678375765,10.143013974301667,11.708450328003067
108.9,10.14221995061186,10.14224740563445,10.19180896578149,11.748466001496254
108.95,10.192219950611857,10.192245299756806,10.240629743540325,11.788532963277504
109,10.242219950611855,10.242243349049573,10.289475830351947,11.828651030713615
109.05,10.292219950611852,10.29224154259515,10.338346755942851,11.868820021218681
109.1,10.342219950611849,10.342239870203414,10.387242056936259,11.909039752259304
109.15,10.39221995061186,10.392238322366396,10.436161276795431,11.949310041359524
109.2,10.442219950611857,10.442236890215412,10.485103965766257,11.989630706105714
109.25,10.492219950611855,10.492235565480925,10.534069680819286,12.030001564151618
109.3,10.542219950611852,10.542234340454385,10.583057985591353,12.0704224332231
109.35,10.592219950611849,10.592233207952631,10.6320684503264,12.110893131123078
109.4,10.64221995061186,10.642232161284198,10.681100651816138,12.15141347573639
109.45,10.692219950611857,10.692231194217598,10.730154173339827,12.191983285034468
109.5,10.742219950611855,10.742230300951704,10.7792286046041,12.232602377080198
109.55,10.792219950611852,10.792229476087613,10.828323541681996,12.273270570032679
109.6,10.842219950611849,10.842228714602484,10.877438586951854,12.31398768215179
