x,norm_density,lognorm_density
0.3200000000000003,0.37903052615270166,0.6513816915341596
0.33000000000000007,0.3778006765308646,0.6538728821694753
0.33999999999999986,0.376537161833254,0.6557051781784959
0.35000000000000053,0.3752403469169378,0.6569287885075298
0.3600000000000003,0.37391060537312837,0.6575904739278651
0.3700000000000001,0.3725483193479334,0.6577337588245411
0.3799999999999999,0.37115387935946603,0.6573991367493284
0.3899999999999997,0.3697276841114324,0.6566242679913171
0.40000000000000036,0.3682701403033233,0.6554441680603114
0.41000000000000014,0.3667816624373361,0.6538913864535912
0.41999999999999993,0.3652626726221539,0.6519961754258524
0.4299999999999997,0.3637136003737135,0.6497866487358884
0.4400000000000004,0.36213488241309216,0.647288930525038
0.4500000000000002,0.36052696246164795,0.6445272946093038
0.45999999999999996,0.35889029103354464,0.6415242945528083
0.46999999999999975,0.35722532522580086,0.6383008849451884
0.4800000000000004,0.35553252850599704,0.6348765343374709
0.4900000000000002,0.35381237049777964,0.6312693303059274
