t,s,trend
0.58,101.683141119505,105.79110795562131
0.582,104.11179305120325,105.81144458384522
0.584,105.27918263217427,105.83226694245546
0.586,107.35616908440923,105.85332277898189
0.588,107.96645825553344,105.87479401279877
0.59,107.77529502008852,105.89638730444987
0.592,106.01482765728737,105.91794236345389
0.594,109.05691332893913,105.93914532898535
0.596,109.16653450893943,105.96095671165114
0.598,107.7918433807098,105.98279001855292
0.6,109.4817587723842,106.00434838722906
0.602,111.60791469035951,106.02624473898354
0.604,115.41491685456846,106.04856632192161
0.606,114.19304871195568,106.07164930529252
0.608,113.41744311443958,106.09448791503492
0.61,112.59566500244806,106.1171714036578
0.612,111.86154528973935,106.13969053665829
0.614,111.15027435449556,106.16206284571624
0.616,110.58460403569556,106.18429290058714
0.618,113.45892653803094,106.20640982139427
0.62,112.06588415754423,106.22910160670187
0.622,111.31013968997452,106.25151478353338
0.624,112.63171684383684,106.27377681147138
0.626,114.92045428609258,106.29630315484015
0.628,113.35616419502762,106.31928724569737
0.63,112.34855003187074,106.34195847853637
0.632,113.42336725011452,106.36442818854275
0.634,115.5110537494222,106.38711286199278
0.636,115.01516840654644,106.41021507274266
0.638,112.09602587351633,106.43321810642396
0.64,115.54563382900028,106.45563731159866
0.642,118.53495015500987,106.47874643836447
0.644,117.0523736292951,106.50245342839547
0.646,116.93953933831038,106.52586390312133
0.648,113.28233317722835,106.54925181098899
0.65,114.45950816766101,106.57190827762443
0.652,117.78370259452865,106.59480017925796
0.654,114.35754351705198,106.61835691977686
0.656,112.78565956983812,106.64122842848028
0.658,111.514596577468,106.66378556039425
0.66,110.17815560644318,106.68608847970974
0.662,106.19273423714141,106.70812411083102
0.664,107.16561988318281,106.72936265767845
0.666,104.25053946898191,106.75079578165509
0.668,104.22477172077414,106.77164588954888
0.67,105.35119482041016,106.79249084389303
0.672,104.99875003798051,106.81356108285712
0.674,106.69518662041986,106.83456083286471
0.676,106.66744531996929,106.8558998701888
0.678,105.45296153703785,106.87723335925278
0.68,106.693344480358,106.89832395156019
0.682,105.88667494119254,106.91966262045626
0.684,109.2654586858179,106.9408399554445
0.686,109.2516213471071,106.96269304718166
0.6880000000000001,110.94017271441294,106.98454337145108
0.6900000000000001,111.36951845881994,107.00673140599396
0.6920000000000001,105.39904210029329,107.02900530968573
0.6940000000000001,102.84440613597816,107.05008511810578
0.6960000000000001,102.08473853916611,107.07065399933298
0.6980000000000001,102.53759386248382,107.0910709470408
0.7000000000000001,98.26096561857325,107.1115784658133
0.7020000000000001,99.97103582723118,107.13123065893701
0.7040000000000001,98.91011358101356,107.15122486610247
0.706,97.59778624097927,107.17100688881867
0.708,94.90139109060966,107.19052644606687
0.71,92.45217201849314,107.20950672428499
0.712,92.56382599979122,107.2279971586887
0.714,93.42576895769396,107.24650992388865
0.716,89.93836519695724,107.26519507768019
0.718,88.34046864095535,107.28318275071958
0.72,89.20480732796823,107.30085084444777
0.722,88.49971703232941,107.31869180591336
0.724,91.94547912071269,107.33639174931983
0.726,94.01283588373504,107.35478084514398
0.728,95.03311889800749,107.37358341232073
0.73,95.06042910608569,107.39259003610033
0.732,95.55449214894047,107.41160212192155
0.734,94.3669760220113,107.43071302035133
0.736,95.44599750235207,107.44958641555574
0.738,97.99238908011488,107.46867561505621
0.74,99.91117642621609,107.48827409287223
0.742,98.47767529296755,107.50825632815747
