date,fx_rate,ccy
2020-10-16,77.9461,USD
2020-10-15,77.2759,USD
2020-10-14,77.2855,USD
2020-10-13,77.0239,USD
2020-10-10,77.0284,USD
2020-10-09,77.9157,USD
2020-10-08,78.0921,USD
2020-10-07,78.5119,USD
2020-10-06,78.1281,USD
2020-10-03,78.0915,USD
2020-10-02,77.2774,USD
2020-10-01,78.7847,USD
2020-09-30,79.6845,USD
2020-09-29,78.6713,USD
2020-09-26,76.8195,USD
2020-09-25,77.178,USD
2020-09-24,76.3545,USD
2020-09-23,76.2711,USD
2020-09-22,76.0381,USD
2020-09-19,75.0319,USD
2020-09-18,75.1941,USD
2020-09-17,74.9278,USD
2020-09-16,75.1884,USD
2020-09-15,74.7148,USD
2020-09-12,74.8896,USD
2020-09-11,75.5274,USD
2020-09-10,76.0713,USD
2020-09-09,75.9645,USD
2020-09-08,75.591,USD
2020-09-05,75.1823,USD
2020-09-04,75.468,USD
2020-09-03,73.8588,USD
2020-09-02,73.5849,USD
2020-09-01,73.8039,USD
2020-08-29,74.6382,USD
2020-08-28,75.2354,USD
2020-08-27,75.5379,USD
2020-08-26,74.5126,USD
2020-08-25,74.4184,USD
2020-08-22,74.0999,USD
2020-08-21,73.7711,USD
2020-08-20,73.2392,USD
2020-08-19,73.4321,USD
2020-08-18,72.9676,USD
2020-08-15,73.2157,USD
2020-08-14,73.6067,USD
2020-08-13,73.2351,USD
2020-08-12,73.1522,USD
2020-08-11,73.775,USD
2020-08-08,73.6376,USD
2020-08-07,73.0397,USD
2020-08-06,73.2806,USD
2020-08-05,73.3806,USD
2020-08-04,74.1586,USD
2020-08-01,73.4261,USD
2020-07-31,73.3633,USD
2020-07-30,72.2348,USD
2020-07-29,71.9196,USD
2020-07-28,71.585,USD
2020-07-25,71.5974,USD
2020-07-24,70.963,USD
2020-07-23,70.7881,USD
2020-07-22,70.9668,USD
2020-07-21,71.9628,USD
2020-07-18,71.7139,USD
2020-07-17,71.231,USD
2020-07-16,70.7998,USD
2020-07-15,71.1275,USD
2020-07-14,70.7479,USD
2020-07-11,71.2298,USD
2020-07-10,70.88,USD
2020-07-09,71.2379,USD
2020-07-08,72.1719,USD
2020-07-07,71.3409,USD
2020-07-04,70.4999,USD
2020-07-03,70.5198,USD
2020-07-02,70.4413,USD
2020-07-01,70.4413,USD
2020-06-30,69.9513,USD
2020-06-27,69.1284,USD
2020-06-26,69.466,USD
2020-06-25,68.8376,USD
2020-06-24,68.8376,USD
2020-06-23,69.4835,USD
2020-06-20,69.5725,USD
2020-06-19,69.618,USD
2020-06-18,69.4822,USD
2020-06-17,69.7524,USD
2020-06-16,70.395,USD
2020-06-12,69.1219,USD
2020-06-11,68.6183,USD
2020-06-10,68.6745,USD
2020-06-09,68.3123,USD
2020-06-06,68.6319,USD
2020-06-05,69.0151,USD
2020-06-04,68.3413,USD
2020-06-03,68.9831,USD
2020-06-02,69.7114,USD
2020-05-30,70.752,USD
2020-05-29,71.1012,USD
2020-05-28,71.0635,USD
2020-05-27,71.1408,USD
2020-05-26,71.5962,USD
2020-05-23,71.8804,USD
2020-05-22,70.924,USD
2020-05-21,72.3381,USD
2020-05-20,72.3918,USD
2020-05-19,72.9798,USD
2020-05-16,73.2056,USD
2020-05-15,73.9298,USD
2020-05-14,73.5819,USD
2020-05-13,73.4326,USD
2020-05-09,73.8725,USD
2020-05-08,74.1169,USD
2020-05-07,73.9719,USD
2020-05-01,72.7263,USD
2020-04-30,73.6894,USD
2020-04-29,74.5706,USD
2020-04-28,74.496,USD
2020-04-25,74.7163,USD
2020-04-24,75.129,USD
2020-04-23,77.0416,USD
2020-04-22,76.2562,USD
2020-04-21,74.6657,USD
2020-04-18,73.9441,USD
2020-04-17,74.7119,USD
2020-04-16,73.7145,USD
2020-04-15,73.315,USD
2020-04-14,73.5245,USD
2020-04-11,73.7515,USD
2020-04-10,74.605,USD
2020-04-09,75.7499,USD
2020-04-08,75.455,USD
2020-04-07,76.4074,USD
2020-03-28,77.7325,USD
2020-03-27,78.7223,USD
2020-03-26,77.7928,USD
2020-03-25,78.8493,USD
2020-03-24,80.8815,USD
2020-03-21,78.0443,USD
2020-03-20,80.157,USD
2020-03-19,77.2131,USD
2020-03-18,73.8896,USD
2020-03-17,74.1262,USD
2020-03-14,73.1882,USD
2020-03-13,74.0274,USD
2020-03-12,71.472,USD
2020-03-11,72.0208,USD
2020-03-07,67.5175,USD
2020-03-06,66.1854,USD
2020-03-05,66.0784,USD
2020-03-04,66.4437,USD
2020-03-03,66.3274,USD
2020-02-29,66.9909,USD
2020-02-28,65.6097,USD
2020-02-27,65.5177,USD
2020-02-26,64.9213,USD
2020-02-22,64.3008,USD
2020-02-21,63.7413,USD
2020-02-20,63.6873,USD
2020-02-19,63.7698,USD
2020-02-18,63.3085,USD
2020-02-15,63.4536,USD
2020-02-14,63.6016,USD
2020-02-13,63.047,USD
2020-02-12,63.949,USD
2020-02-11,63.7708,USD
2020-02-08,63.472,USD
2020-02-07,62.7977,USD
2020-02-06,63.1742,USD
2020-02-05,63.4342,USD
2020-02-04,63.9091,USD
2020-02-01,63.1385,USD
2020-01-31,63.0359,USD
2020-01-30,62.3934,USD
2020-01-29,62.8299,USD
2020-01-28,62.338,USD
2020-01-25,61.8031,USD
2020-01-24,61.9515,USD
2020-01-23,61.8343,USD
2020-01-22,61.8552,USD
2020-01-21,61.4654,USD
2020-01-18,61.5333,USD
2020-01-17,61.5694,USD
2020-01-16,61.4328,USD
2020-01-15,61.414,USD
