month-01,cape_excess_yield
1938-02-01,0.0308584581
1938-03-01,0.0364209898
1938-04-01,0.0413090732
1938-05-01,0.0387763907
1938-06-01,0.0375016444
1938-07-01,0.0239978053
1938-08-01,0.0235591026
1938-09-01,0.0255044947
1938-10-01,0.0177872749
1938-11-01,0.0176130366
1938-12-01,0.019895869
1939-01-01,0.0207006682
1939-02-01,0.0198570141
1939-03-01,0.0202947824
1939-04-01,0.0285690365
1939-05-01,0.0252130622
1939-06-01,0.0232257148
1939-07-01,0.0202835604
1939-08-01,0.0210619667
1939-09-01,0.0179343735
1939-10-01,0.0160312617
1939-11-01,0.0169512153
1939-12-01,0.0188237271
1940-01-01,0.0184499262
1940-02-01,0.0205553672
1940-03-01,0.0215156052
1940-04-01,0.020405333
1940-05-01,0.0308447546
1940-06-01,0.0394743006
1940-07-01,0.0371046911
1940-08-01,0.0363838997
1940-09-01,0.0330920668
1940-10-01,0.0333459335
1940-11-01,0.0326902442
1940-12-01,0.0390053322
1941-01-01,0.0404783844
1941-02-01,0.0462896331
1941-03-01,0.0474771593
1941-04-01,0.0516539285
1941-05-01,0.0558316309
1941-06-01,0.057901603
1941-07-01,0.0537310406
1941-08-01,0.05642892
1941-09-01,0.0591996952
1941-10-01,0.0656997572
1941-11-01,0.0725578502
1941-12-01,0.0809662774
1942-01-01,0.0837772443
1942-02-01,0.0901432772
1942-03-01,0.0998948472
1942-04-01,0.1072142123
1942-05-01,0.1104579169
1942-06-01,0.1059235376
1942-07-01,0.103531272
1942-08-01,0.1065644605
1942-09-01,0.1065204375
1942-10-01,0.1025261566
1942-11-01,0.1032313933
1942-12-01,0.1050825805
1943-01-01,0.1011936524
1943-02-01,0.0976544491
1943-03-01,0.0990552166
1943-04-01,0.0986649543
1943-05-01,0.0966736074
1943-06-01,0.0946677679
1943-07-01,0.0889738776
1943-08-01,0.0918615
1943-09-01,0.0914561326
1943-10-01,0.0926222446
1943-11-01,0.0972913525
1943-12-01,0.0963515487
1944-01-01,0.0936884372
1944-02-01,0.0938681151
1944-03-01,0.0917075156
1944-04-01,0.0947208231
1944-05-01,0.0934501683
1944-06-01,0.0900071508
1944-07-01,0.0891596596
1944-08-01,0.0907058214
1944-09-01,0.0909055028
1944-10-01,0.0898153323
1944-11-01,0.0906940701
1944-12-01,0.0909300413
1945-01-01,0.0871870888
1945-02-01,0.084001739
1945-03-01,0.0842730033
1945-04-01,0.0816945396
1945-05-01,0.0799618572
1945-06-01,0.0814532594
1945-07-01,0.0831611147
1945-08-01,0.0830201689
1945-09-01,0.0782159727
1945-10-01,0.0754599425
1945-11-01,0.0726460347
1945-12-01,0.0725881747
1946-01-01,0.0701693433
1946-02-01,0.0689906158
1946-03-01,0.0734462337
1946-04-01,0.0702256491
1946-05-01,0.0708396061
1946-06-01,0.0721005727
1946-07-01,0.0827394456
1946-08-01,0.0865983815
1946-09-01,0.1005158302
1946-10-01,0.1058484707
1946-11-01,0.1104665985
1946-12-01,0.1093123006
1947-01-01,0.1077796742
1947-02-01,0.1041170862
1947-03-01,0.11005042
1947-04-01,0.1123052766
1947-05-01,0.1128485529
1947-06-01,0.1102312645
1947-07-01,0.1055605736
1947-08-01,0.1095109224
1947-09-01,0.1150868921
1947-10-01,0.1123965955
1947-11-01,0.1146991921
1947-12-01,0.1191319709
1948-01-01,0.1241332564
1948-02-01,0.1281205008
1948-03-01,0.1259451569
1948-04-01,0.1216950031
1948-05-01,0.1191806717
1948-06-01,0.1175348114
1948-07-01,0.1224324282
1948-08-01,0.1264155816
1948-09-01,0.128030933
1948-10-01,0.1260748553
1948-11-01,0.130517324
1948-12-01,0.1310378342
1949-01-01,0.1298559844
1949-02-01,0.1334350341
1949-03-01,0.1331319178
1949-04-01,0.1355435854
1949-05-01,0.1360556745
1949-06-01,0.1435967889
1949-07-01,0.1365317543
1949-08-01,0.1343648814
1949-09-01,0.1321939924
1949-10-01,0.1292068454
1949-11-01,0.1291995598
1949-12-01,0.1253875217
1950-01-01,0.1237745133
1950-02-01,0.1213966517
1950-03-01,0.1216408023
1950-04-01,0.1192426612
1950-05-01,0.1172669399
1950-06-01,0.1160531258
1950-07-01,0.1262465583
1950-08-01,0.1226069091
1950-09-01,0.1204616466
1950-10-01,0.1186582358
1950-11-01,0.1197726693
1950-12-01,0.1218935313
1951-01-01,0.1189875916
1951-02-01,0.1184405515
1951-03-01,0.1200966368
1951-04-01,0.1184867607
1951-05-01,0.1186814441
