date	total_return_net_index
2019-08-09	4223.46
2019-08-12	4239.56
2019-08-13	4224.1
2019-08-14	4156.2
2019-08-15	4138.14
2019-08-16	4121.78
2019-08-19	4173.62
2019-08-20	4212.63
2019-08-21	4214.38
2019-08-22	4216.24
2019-08-23	4193.56
2019-08-26	4189.62
2019-08-27	4191.37
2019-08-28	4219.67
2019-08-29	4277.89
2019-08-30	4318.54
2019-09-02	4370.5
2019-09-03	4372.38
2019-09-04	4402.58
2019-09-05	4425.06
2019-09-06	4410.06
2019-09-09	4392.85
2019-09-10	4394.25
2019-09-11	4440.8
2019-09-12	4413.91
2019-09-13	4400.91
2019-09-16	4469.68
2019-09-17	4448.46
2019-09-18	4444.89
2019-09-19	4407.31
2019-09-20	4409.9
2019-09-23	4392.63
2019-09-24	4343.86
2019-09-25	4352.94
2019-09-26	4383.58
2019-09-27	4360.3
2019-09-30	4343.23
2019-10-01	4361.65
2019-10-02	4299.29
2019-10-03	4280.45
2019-10-04	4269.82
2019-10-07	4312.12
2019-10-08	4294.15
2019-10-09	4306.97
2019-10-10	4326.73
2019-10-11	4311.5
2019-10-14	4295.66
2019-10-15	4324.01
2019-10-16	4370.33
2019-10-17	4377.16
2019-10-18	4383.96
2019-10-21	4397.09
2019-10-22	4462.51
2019-10-23	4493.32
2019-10-24	4581.66
2019-10-25	4575.86
2019-10-28	4549.58
2019-10-29	4596.67
2019-10-30	4635.96
2019-10-31	4608.62
2019-11-01	4666.61
2019-11-05	4697.11
2019-11-06	4746.94
2019-11-07	4791.05
2019-11-08	4734.76
2019-11-11	4716.08
2019-11-12	4699.67
2019-11-13	4672.17
2019-11-14	4653.95
2019-11-15	4673.65
2019-11-18	4657.19
2019-11-19	4684.59
2019-11-20	4676.28
2019-11-21	4686.04
2019-11-22	4694.13
2019-11-25	4706.3
2019-11-26	4666.96
2019-11-27	4664.46
2019-11-28	4662.11
2019-11-29	4674.53
2019-12-02	4653.56
2019-12-03	4593.5
2019-12-04	4620.87
2019-12-05	4618.68
2019-12-06	4665.63
2019-12-09	4691.55
2019-12-10	4671.43
2019-12-11	4706.48
2019-12-12	4752.21
2019-12-13	4774.51
2019-12-16	4790.14
2019-12-17	4801.5
2019-12-18	4818.44
2019-12-19	4811.92
2019-12-20	4823.98
2019-12-23	4852.58
2019-12-24	4847.43
2019-12-25	4847.82
2019-12-26	4857.96
2019-12-27	4894.63
2019-12-30	4887.25
2020-01-03	4936.19
2020-01-06	4940.2
2020-01-08	4991.57
2020-01-09	5004.44
2020-01-10	5014.12
2020-01-13	5059.12
2020-01-14	5025
2020-01-15	5029.59
2020-01-16	5069.08
2020-01-17	5132.74
2020-01-20	5169.74
2020-01-21	5152.56
2020-01-22	5097.01
2020-01-23	5043.35
2020-01-24	5051.38
2020-01-27	4953.37
2020-01-28	4998.23
2020-01-29	5023.44
2020-01-30	4990.97
2020-01-31	4944.01
2020-02-03	4935.23
2020-02-04	4978.24
2020-02-05	5005
2020-02-06	4976.76
2020-02-07	4962.22
2020-02-10	4921.69
2020-02-11	4978.21
2020-02-12	5017.89
2020-02-13	4999.22
2020-02-14	4978.05
2020-02-17	4999.24
2020-02-18	4941.35
2020-02-19	5006.49
2020-02-20	5023.41
2020-02-21	4992.76
2020-02-25	4826.63
2020-02-26	4850.33
2020-02-27	4687.04
2020-02-28	4476.85
2020-03-02	4445.81
2020-03-03	4535.19
2020-03-04	4545.86
2020-03-05	4527.68
2020-03-06	4371.45
2020-03-10	4016.9
2020-03-11	4007.16
2020-03-12	3675.25
2020-03-13	3723.44
2020-03-16	3643.91
2020-03-17	3576.14
2020-03-18	3395.94
2020-03-19	3658.05
2020-03-20	3751.61
2020-03-23	3625.69
2020-03-24	3887.35
2020-03-25	3946.43
2020-03-26	4006.99
2020-03-27	3863.99
2020-03-30	3915.88
2020-03-31	4037.31
2020-04-01	3980.66
2020-04-02	4097.08
2020-04-03	4139.37
2020-04-06	4220.41
2020-04-07	4239.96
2020-04-08	4296.9
2020-04-09	4347.83
2020-04-10	4309.35
2020-04-13	4230.48
2020-04-14	4235.28
2020-04-15	4021.43
2020-04-16	4047.35
2020-04-17	4079.41
2020-04-20	4064.92
2020-04-21	4003.85
2020-04-22	4141.27
2020-04-23	4183.11
2020-04-24	4122.95
2020-04-27	4137.24
2020-04-28	4203.75
2020-04-29	4285.67
2020-04-30	4265.42
2020-05-04	4223.71
2020-05-05	4270.17
2020-05-06	4235.71
2020-05-07	4244.39
2020-05-08	4257
2020-05-12	4257.79
2020-05-13	4198.07
2020-05-14	4178.37
2020-05-15	4184.18
2020-05-18	4346.03
2020-05-19	4374.22
2020-05-20	4469.5
2020-05-21	4385.43
2020-05-22	4378.44
2020-05-25	4456.9
2020-05-26	4450.61
2020-05-27	4429.57
2020-05-28	4497.94
2020-05-29	4427.25
2020-06-01	4452.4
2020-06-02	4527.3
2020-06-03	4583.27
2020-06-04	4478.33
2020-06-05	4521.2
2020-06-08	4528.2
2020-06-09	4527.55
2020-06-10	4510.19
2020-06-11	4450.52
2020-06-15	4413.53
